"","gene","module"
"ENSSTOG00000033911","ENSSTOG00000033911",5
"TRAK1_like_ENSSTOG00000033928","TRAK1_like_ENSSTOG00000033928",2
"ENSSTOG00000033959","ENSSTOG00000033959",3
"ENSSTOG00000033981","ENSSTOG00000033981",0
"ENSSTOG00000034050","ENSSTOG00000034050",2
"ENSSTOG00000034092","ENSSTOG00000034092",2
"ENSSTOG00000034127","ENSSTOG00000034127",4
"ENSSTOG00000034138","ENSSTOG00000034138",2
"ENSSTOG00000034143","ENSSTOG00000034143",0
"NEAT1_2_ENSSTOG00000034231","NEAT1_2_ENSSTOG00000034231",0
"ENSSTOG00000034253","ENSSTOG00000034253",0
"ENSSTOG00000034268","ENSSTOG00000034268",0
"ENSSTOG00000034278","ENSSTOG00000034278",0
"ENSSTOG00000034312","ENSSTOG00000034312",1
"ENSSTOG00000034318","ENSSTOG00000034318",0
"HIST1H2AC","HIST1H2AC",2
"FXN_like","FXN_like",0
"CCNC_like","CCNC_like",0
"ENSSTOG00000034485","ENSSTOG00000034485",4
"ENSSTOG00000034516","ENSSTOG00000034516",0
"SDHAF3","SDHAF3",0
"ENSSTOG00000034585","ENSSTOG00000034585",0
"HHIPL1_containing","HHIPL1_containing",2
"NFS1_containing","NFS1_containing",0
"ENSSTOG00000034702","ENSSTOG00000034702",1
"FAM89B_like","FAM89B_like",0
"ENSSTOG00000034714","ENSSTOG00000034714",0
"ENSSTOG00000034728","ENSSTOG00000034728",1
"ENSSTOG00000034733","ENSSTOG00000034733",0
"LINC00634","LINC00634",3
"ENSSTOG00000034809","ENSSTOG00000034809",4
"ENSSTOG00000034825","ENSSTOG00000034825",15
"MON2_containing","MON2_containing",3
"U3_ENSSTOG00000034938","U3_ENSSTOG00000034938",1
"TTC3_like_ENSSTOG00000034948","TTC3_like_ENSSTOG00000034948",1
"G10012","G10012",0
"G10018","G10018",5
"G10020","G10020",4
"AFF1_containing","AFF1_containing",1
"G10025","G10025",1
"G10026","G10026",2
"G10028","G10028",0
"G10034","G10034",1
"DLGAP1_containing","DLGAP1_containing",0
"AFF1_like","AFF1_like",1
"G10049","G10049",0
"HMGN2_G1006","HMGN2_G1006",0
"G10061","G10061",1
"HSD17B11_G10065","HSD17B11_G10065",0
"G10066","G10066",2
"G10072","G10072",3
"G10076","G10076",2
"G10077","G10077",3
"G1008","G1008",1
"G10085","G10085",0
"G10087","G10087",0
"G10096","G10096",1
"G10098","G10098",4
"G10099","G10099",1
"G1010","G1010",1
"G10104","G10104",0
"CAMK2G_like","CAMK2G_like",1
"G10110","G10110",3
"G10112","G10112",2
"G1012","G1012",2
"G10138","G10138",0
"ANTXR2_like","ANTXR2_like",12
"G10151","G10151",7
"CCNI_like","CCNI_like",0
"G10161","G10161",3
"NAAA_containing","NAAA_containing",3
"SDAD1_like_G10180","SDAD1_like_G10180",4
"G10181","G10181",2
"G10182","G10182",4
"G10187","G10187",1
"G10189","G10189",1
"G10190","G10190",2
"G10191","G10191",3
"G10192","G10192",1
"G10206","G10206",1
"ANKRD17","ANKRD17",1
"ANKRD17_like","ANKRD17_like",1
"G10213","G10213",3
"G10221","G10221",0
"G10229","G10229",1
"G10236","G10236",1
"G10242","G10242",0
"G10245","G10245",0
"G10270","G10270",0
"G10279","G10279",3
"EPHA5","EPHA5",0
"G10304","G10304",3
"G10308","G10308",0
"ADGRL3","ADGRL3",0
"G10312","G10312",0
"G10313","G10313",0
"G10316","G10316",1
"G10317","G10317",0
"G10319","G10319",5
"G10322","G10322",2
"G10333","G10333",1
"G10334","G10334",0
"G10335","G10335",1
"G10336","G10336",0
"G10337","G10337",2
"G1034","G1034",4
"REST","REST",1
"G10350","G10350",6
"G10352","G10352",1
"PPAT_containing","PPAT_containing",1
"KIT_containing","KIT_containing",5
"CHIC2_like","CHIC2_like",2
"G10379","G10379",3
"ADIPOR1_G1038","ADIPOR1_G1038",2
"G10386","G10386",1
"G10410","G10410",0
"G10411","G10411",0
"G10426","G10426",3
"GABRA4","GABRA4",0
"GABRA4_containing","GABRA4_containing",3
"G10437","G10437",2
"G10439","G10439",1
"G10440","G10440",4
"G10442","G10442",2
"G10450","G10450",2
"G10457","G10457",0
"GABRB1_containing","GABRB1_containing",4
"SLC30A9_containing","SLC30A9_containing",4
"APBB2_like_G10465","APBB2_like_G10465",8
"G10483","G10483",0
"G10486","G10486",2
"G10504","G10504",1
"G10510","G10510",0
"RELL1","RELL1",8
"G10518","G10518",0
"G10522","G10522",0
"G10533","G10533",2
"TBC1D19_containing","TBC1D19_containing",0
"G10538","G10538",1
"G10540","G10540",6
"SPOCK2_containing","SPOCK2_containing",7
"G10554","G10554",0
"G10558","G10558",1
"SEPSECS_containing","SEPSECS_containing",2
"G10570","G10570",1
"KCNIP4","KCNIP4",4
"G10596","G10596",0
"G10599","G10599",0
"G10601","G10601",2
"G10602","G10602",1
"G10607","G10607",4
"G10608","G10608",0
"G10609","G10609",0
"G10628","G10628",3
"G10635","G10635",4
"ZNF518B_containing","ZNF518B_containing",1
"G1065","G1065",0
"WDR1","WDR1",3
"G10658","G10658",1
"UNC5B_containing","UNC5B_containing",11
"G10691","G10691",0
"G107","G107",0
"G1071","G1071",2
"G10712","G10712",1
"TADA2B_like_G10720","TADA2B_like_G10720",1
"G10722","G10722",1
"G10731","G10731",0
"G10735","G10735",2
"ADRA2C_containing","ADRA2C_containing",0
"G10738","G10738",1
"G10744","G10744",0
"RPL21_G1075","RPL21_G1075",0
"G10761","G10761",2
"G10765","G10765",6
"G10767","G10767",1
"G10773","G10773",1
"G10782","G10782",1
"G10790","G10790",1
"G10799","G10799",1
"G10801","G10801",3
"G10803","G10803",1
"G10804","G10804",0
"G10805","G10805",1
"G10810","G10810",1
"G10811","G10811",3
"G10814","G10814",3
"G10822","G10822",1
"G10823","G10823",1
"G1083","G1083",1
"G10831","G10831",2
"G10847","G10847",9
"G10849","G10849",3
"G10853","G10853",1
"TMEM271_containing","TMEM271_containing",10
"AUTS2_G10872","AUTS2_G10872",17
"G10883","G10883",0
"G10886","G10886",0
"G10887","G10887",0
"G10894","G10894",0
"G10899","G10899",1
"G10902","G10902",0
"G10903","G10903",1
"G10904","G10904",1
"G10905","G10905",1
"G10908","G10908",0
"G10911","G10911",4
"G10912","G10912",4
"G10915","G10915",1
"G10917","G10917",4
"GLUD1","GLUD1",0
"G10929","G10929",12
"G10933","G10933",5
"G10934","G10934",13
"NDST4_containing","NDST4_containing",0
"G10937","G10937",0
"G10940","G10940",0
"NDST3","NDST3",5
"G10964","G10964",3
"COL25A1","COL25A1",5
"SGMS2_like","SGMS2_like",1
"G10997","G10997",3
"G110","G110",0
"CXXC4","CXXC4",5
"G11024","G11024",0
"G11026","G11026",1
"G11028","G11028",3
"G1103","G1103",0
"G11031","G11031",0
"G11041","G11041",3
"DNAJB14_containing","DNAJB14_containing",2
"G11048","G11048",2
"G11064","G11064",1
"G11068","G11068",1
"G11069","G11069",5
"G11077","G11077",1
"G11079","G11079",1
"BMPR1B_containing","BMPR1B_containing",6
"G11083","G11083",1
"GPRIN3_containing","GPRIN3_containing",2
"G11105","G11105",0
"G11109","G11109",3
"G11114","G11114",1
"G11127","G11127",1
"NUS1_like_G11141","NUS1_like_G11141",0
"HNRNPC","HNRNPC",0
"G11152","G11152",16
"G11158","G11158",14
"G11159","G11159",14
"G11160","G11160",0
"G11162","G11162",14
"G11164","G11164",4
"G11172","G11172",14
"ZNF724_G11181","ZNF724_G11181",1
"G11183","G11183",0
"G11184","G11184",0
"G11190","G11190",2
"GRIA2_like","GRIA2_like",2
"G11198","G11198",16
"G1121","G1121",17
"G11210","G11210",3
"G11215","G11215",0
"G11221","G11221",4
"G11222","G11222",0
"G11224","G11224",3
"G11230","G11230",0
"G11249","G11249",0
"MIR4453HG_containing","MIR4453HG_containing",1
"FBXW7","FBXW7",1
"G11256","G11256",2
"G11265","G11265",0
"G11272","G11272",0
"G11274","G11274",1
"TMEM184C_like","TMEM184C_like",1
"G11279","G11279",2
"G1129","G1129",2
"ABHD3_like","ABHD3_like",5
"G1130","G1130",1
"G11306","G11306",8
"G11308","G11308",0
"OTUD3","OTUD3",1
"INPP4B","INPP4B",2
"G11328","G11328",0
"G1133","G1133",3
"RNF150_like","RNF150_like",0
"G11333","G11333",7
"HHIP_like","HHIP_like",8
"G11359","G11359",2
"G1136","G1136",2
"G11362","G11362",2
"G11363","G11363",5
"SLC7A11_containing","SLC7A11_containing",2
"G11368","G11368",2
"G11369","G11369",2
"CCSER1_like","CCSER1_like",4
"G11399","G11399",0
"TMEM184C_G11404","TMEM184C_G11404",1
"G11410","G11410",0
"MAP2K6","MAP2K6",0
"G11412","G11412",2
"G11414","G11414",3
"G11419","G11419",0
"G11429","G11429",0
"PGRMC2_like_G11440","PGRMC2_like_G11440",1
"G11444","G11444",0
"CTNNA3_containing","CTNNA3_containing",8
"TET1_containing","TET1_containing",1
"KCNA6_G11483","KCNA6_G11483",0
"G11485","G11485",1
"G11487","G11487",14
"G11494","G11494",1
"TMEM155_containing","TMEM155_containing",1
"G11513","G11513",3
"G11535","G11535",2
"G11537","G11537",3
"G11542","G11542",0
"G11543","G11543",0
"G11554","G11554",0
"G1156","G1156",0
"G11561","G11561",1
"G1157","G1157",0
"G11572","G11572",1
"G11577","G11577",1
"G11582","G11582",0
"G11587","G11587",2
"G11588","G11588",1
"G11589","G11589",1
"G11591","G11591",1
"G11594","G11594",1
"G11599","G11599",2
"G11600","G11600",1
"G11603","G11603",1
"G11608","G11608",1
"G11610","G11610",3
"G11612","G11612",0
"G11616","G11616",1
"G11617","G11617",2
"G11619","G11619",1
"G11620","G11620",1
"G11625","G11625",15
"G11629","G11629",0
"G11630","G11630",0
"G11631","G11631",1
"G11643","G11643",2
"G11645","G11645",2
"G11647","G11647",2
"G11653","G11653",1
"G11655","G11655",1
"G11658","G11658",0
"G11663","G11663",0
"G11665","G11665",1
"G11675","G11675",1
"G11677","G11677",2
"G11687","G11687",0
"G11689","G11689",1
"G11694","G11694",0
"SYT3_like","SYT3_like",7
"G11707","G11707",0
"G11713","G11713",0
"G11714","G11714",1
"G11715","G11715",2
"G11727","G11727",2
"G11742","G11742",2
"ANK3","ANK3",1
"G11761","G11761",2
"G11764","G11764",1
"G11766","G11766",2
"CACNG8_containing","CACNG8_containing",2
"G11768","G11768",2
"G11769","G11769",4
"FAM241A_containing_G1177","FAM241A_containing_G1177",1
"G11783","G11783",0
"G11785","G11785",1
"G11787","G11787",1
"G11788","G11788",0
"G11789","G11789",0
"G11797","G11797",0
"G11803","G11803",0
"G11804","G11804",0
"ZNF331_containing","ZNF331_containing",0
"G11808","G11808",1
"G11813","G11813",1
"G11825","G11825",0
"G1183","G1183",1
"G11835","G11835",0
"G11838","G11838",1
"G11843","G11843",1
"G11850","G11850",0
"G11857","G11857",0
"ZNF536_G11882","ZNF536_G11882",2
"ZNF536_G11883","ZNF536_G11883",2
"G11885","G11885",1
"G11886","G11886",1
"DDX50","DDX50",3
"ZNF415_containing","ZNF415_containing",1
"ZNF83_containing_G11891","ZNF83_containing_G11891",2
"G11897","G11897",0
"G11899","G11899",0
"G11908","G11908",0
"CEBPG_containing","CEBPG_containing",1
"ANK3_like","ANK3_like",6
"G11941","G11941",0
"G11948","G11948",1
"G11953","G11953",6
"G11964","G11964",3
"FXYD7","FXYD7",2
"G11979","G11979",1
"FTH1_G11993","FTH1_G11993",0
"G11997","G11997",2
"G12011","G12011",3
"G12012","G12012",1
"G12016","G12016",0
"G12022","G12022",1
"G12029","G12029",12
"ZNF260_containing_G12038","ZNF260_containing_G12038",1
"MORF4L1_G12041","MORF4L1_G12041",0
"G12055","G12055",2
"G12056","G12056",1
"G12057","G12057",2
"G12058","G12058",1
"G12059","G12059",1
"G12064","G12064",1
"G12067","G12067",0
"RN7SK_containing","RN7SK_containing",1
"G12076","G12076",1
"G12077","G12077",2
"G12079","G12079",1
"G12080","G12080",3
"G12081","G12081",1
"G12082","G12082",0
"G12083","G12083",1
"G12085","G12085",1
"G12088","G12088",0
"G12091","G12091",1
"G12096","G12096",1
"G12097","G12097",1
"G12099","G12099",3
"G1210","G1210",0
"G12103","G12103",3
"G12119","G12119",4
"IPMK_containing","IPMK_containing",1
"ARPP19_containing","ARPP19_containing",1
"ARPP19_G12124","ARPP19_G12124",2
"G12125","G12125",0
"G1213","G1213",2
"G12132","G12132",0
"G1214","G1214",4
"G12140","G12140",1
"ZNF793_containing_G12143","ZNF793_containing_G12143",1
"G12144","G12144",0
"G12149","G12149",0
"G12152","G12152",0
"G12155","G12155",1
"G12156","G12156",4
"G1216","G1216",14
"G12168","G12168",5
"G12174","G12174",1
"G12201","G12201",1
"G12215","G12215",1
"G12239","G12239",1
"G12251","G12251",16
"G12252","G12252",2
"G12271","G12271",1
"G12275","G12275",3
"G12277","G12277",0
"G12279","G12279",2
"G12288","G12288",1
"G1230","G1230",2
"G12308","G12308",1
"G1232","G1232",0
"G12328","G12328",5
"G1234","G1234",4
"G12340","G12340",0
"G12343","G12343",6
"G12344","G12344",6
"PRKG1","PRKG1",0
"G12354","G12354",2
"POU2F2","POU2F2",1
"G12363","G12363",1
"G12369","G12369",1
"G12370","G12370",5
"G12378","G12378",4
"G12379","G12379",4
"G12380","G12380",1
"G12395","G12395",0
"G1241","G1241",1
"G12411","G12411",0
"G12413","G12413",0
"G12421","G12421",1
"G12423","G12423",1
"G12424","G12424",0
"G12425","G12425",1
"G12438","G12438",0
"G12456","G12456",1
"G12465","G12465",0
"NECTIN2","NECTIN2",3
"G12477","G12477",2
"G12499","G12499",1
"PTEN_containing","PTEN_containing",0
"G12502","G12502",3
"G12529","G12529",3
"MYPOP","MYPOP",1
"G12563","G12563",8
"G12576","G12576",2
"G12577","G12577",7
"G12593","G12593",0
"G12596","G12596",1
"G12597","G12597",0
"G12601","G12601",12
"G12603","G12603",0
"G12604","G12604",0
"G12605","G12605",2
"G12609","G12609",0
