unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
Rplp2,4.3945622402026016e-5,1.8425105167337804e-5,2.943193842164788e-5,6470,10934,8315
Vps37c,4.3923805963694105e-5,2.546415206244485e-5,1.450149597818094e-5,6471,9599,11159
Ppp2r5c,4.390937419591476e-5,1.0375490967275013e-4,1.2291209401945929e-5,6472,3136,11606
Slc50a1,4.3905498024614475e-5,3.366525870388761e-5,3.14396655244761e-5,6473,8264,8010
Znf740,4.3900163302278184e-5,2.6565013594706365e-5,7.270770047924978e-5,6474,9418,4448
Znf219,4.389339879474039e-5,8.621532221903928e-5,3.4016487411943354e-5,6475,3830,7641
Ccdc25,4.38892643144384e-5,2.4330354137605965e-5,3.087933973422214e-5,6476,9779,8094
Ctr9,4.38855187546996e-5,2.325648336590695e-4,5.7335572761455606e-5,6477,881,5418
Stn1,4.388392021001712e-5,1.259288006936256e-4,1.593484145868641e-4,6478,2473,1930
Nyap2,4.387161519450822e-5,2.9032711087314935e-5,1.6335689173492263e-5,6479,9001,10740
Lrpprc,4.38639359158685e-5,1.0372497863783722e-4,3.801221742150903e-5,6480,3140,7139
Slc35c2,4.386366414978164e-5,1.552155289456682e-5,3.5002890612075734e-5,6481,11475,7500
Hid1,4.3860229442454555e-5,8.924861796390923e-5,1.8131007617916002e-5,6482,3678,10346
Zfat,4.385846562183385e-5,2.6191036726377284e-5,1.0794134967151291e-4,6483,9488,3170
LOC106145166,4.3849066700328725e-5,8.035702698571945e-5,1.5383996991229166e-5,6484,4189,10954
Nomo2,4.3848980058156386e-5,5.2492917274945445e-5,3.2568160201003915e-5,6485,6123,7844
G1656,4.383400542202474e-5,0,0,6486,12575.5,12501
Eny2,4.38105918896291e-5,5.6781750305366296e-5,2.8954260283537075e-5,6487,5736,8396
Zscan20,4.38044210205443e-5,8.312182777874691e-5,6.056095090343236e-5,6488,4025,5212
Miip,4.377994273539245e-5,5.5138076010636885e-5,1.8440623935140136e-5,6489,5884,10288
Clk3,4.3773280165204976e-5,2.9214314791675824e-4,2.7407849230370407e-4,6490,409,500
Grpel2,4.376978478031428e-5,1.4488955045926386e-5,8.559775810957991e-5,6491,11650,3862
Sox5,4.375588945455367e-5,2.08992946625049e-5,1.7789312609915664e-5,6492,10437,10427
Bola3,4.373144231672217e-5,2.885867157693113e-4,4.8733670372366324e-5,6493,540,6090
Lum,4.371118265734127e-5,4.7426998400412755e-5,0,6494,6644,12501
Morc2,4.369662086001021e-5,8.567507099599909e-5,8.903717679122932e-5,6495,3859,3744
Abtb1,4.369602722670841e-5,9.920552776126774e-5,1.5750525044366277e-5,6496,3293,10862
Pdzd7,4.366376701386625e-5,2.3734416058458116e-5,1.4371011113227978e-5,6497,9891,11180
Ddn,4.366341047524123e-5,0,2.7035273709144134e-4,6498,12575.5,650
LOC110599221,4.3634622920072094e-5,0,0,6499,12575.5,12501
Pank3,4.3632046090640485e-5,5.656625696109876e-5,3.0149069115304187e-5,6500,5756,8199
Hsf4,4.3618112435381685e-5,7.471470476743425e-5,3.542491428422827e-5,6501,4543,7431
Slc15a2,4.361031910078942e-5,2.1347914000241229e-4,4.242460438158843e-5,6502,1042,6668
Tor1b,4.3596311375174424e-5,2.2160679318163663e-5,4.261394831900689e-5,6503,10170,6649
Llgl1,4.359366031494347e-5,2.362775459397595e-5,5.011403744217565e-5,6504,9912,5959
Zfp91,4.358514450966701e-5,2.738864634142795e-5,4.1027789759165155e-5,6505,9273,6813
Ccdc157,4.358497308812364e-5,4.9896657713764594e-5,2.8428584705220415e-5,6506,6374,8495
Gtf2a1,4.3556841571985305e-5,3.175194458590224e-5,7.134253601890405e-5,6507,8542,4540
Actb,4.354618734169804e-5,1.7237386453804377e-5,1.7144501556453857e-5,6508,11157,10577
Usb1,4.3544117397852685e-5,2.4050489657202865e-5,2.5193105314112073e-5,6509,9829,9101
Trip10,4.353017626640977e-5,4.441874795955107e-5,3.812236075225334e-5,6510,6953,7128
