"","gene","n","module_n","module_color"
"2495","Sept8",19,12,"tan"
"2496","Sept9",2,3,"brown"
"2497","Serbp1",18,1,"turquoise"
"2498","Serinc3",10,17,"grey60"
"2499","Serinc5",23,1,"turquoise"
"2500","SERP1",3,1,"turquoise"
"2501","SERPINA13P_like",8,4,"yellow"
"2502","SERPINB8_like",4,3,"brown"
"2503","Serpind1",15,16,"lightcyan"
"2504","Serpinh1",14,1,"turquoise"
"2505","Sesn3",3,5,"green"
"2506","Sestd1",11,1,"turquoise"
"2507","Setd1a",16,2,"blue"
"2508","Setd1b",4,1,"turquoise"
"2509","Setd3",18,3,"brown"
"2510","Setd7",228,1,"turquoise"
"2511","Setdb1",26,1,"turquoise"
"2512","SETX_containing",82,1,"turquoise"
"2513","Sez6",3,7,"black"
"2514","Sez6l2",4,7,"black"
"2515","Sf3a3",10,5,"green"
"2516","Sf3b2",12,3,"brown"
"2517","Sfmbt1",3,8,"pink"
"2518","Sfmbt2",38,1,"turquoise"
"2519","Sfxn5",3,7,"black"
"2520","Sgcb",22,1,"turquoise"
"2521","Sgms1",20,5,"green"
"2522","Sgsh",4,3,"brown"
"2523","Sgta",50,2,"blue"
"2524","Sh2b3",213,1,"turquoise"
"2525","Sh2d3c",2,4,"yellow"
"2526","Sh3bgrl3",5,13,"salmon"
"2527","Sh3bp5l",163,1,"turquoise"
"2528","Sh3d19",159,1,"turquoise"
"2529","Sh3glb2",12,2,"blue"
"2530","Shank1",12,9,"magenta"
"2531","Shc2",19,7,"black"
"2532","Shisa2",5,1,"turquoise"
"2533","Shprh",157,1,"turquoise"
"2534","Shroom4",29,1,"turquoise"
"2535","Sik1",13,8,"pink"
"2536","Sike1",5,1,"turquoise"
"2537","Sil1",214,2,"blue"
"2538","Simc1",142,1,"turquoise"
"2539","Sipa1l2",5,1,"turquoise"
"2540","Sirt2",5,13,"salmon"
"2541","Sirt3",32,2,"blue"
"2542","Skil",70,1,"turquoise"
"2543","Skp1",3,10,"purple"
"2544","Slc10a3",15,2,"blue"
"2545","Slc12a5",8,7,"black"
"2546","SLC12A5",12,9,"magenta"
"2547","Slc13a3",5,16,"lightcyan"
"2548","Slc13a4",9,16,"lightcyan"
"2549","Slc16a12",4,16,"lightcyan"
"2550","Slc19a2",61,1,"turquoise"
"2551","Slc20a1",3,5,"green"
"2552","Slc22a5",215,1,"turquoise"
"2553","Slc22a6",10,16,"lightcyan"
"2554","Slc22a8",5,16,"lightcyan"
"2555","Slc24a3",8,9,"magenta"
"2556","Slc25a23",3,7,"black"
"2557","Slc25a3",5,2,"blue"
"2558","Slc25a30",219,1,"turquoise"
"2559","Slc25a4",277,2,"blue"
"2560","Slc25a42",75,1,"turquoise"
"2561","Slc25a44",5,1,"turquoise"
"2562","Slc25a48",8,4,"yellow"
"2563","SLC2A14_containing",36,1,"turquoise"
"2564","SLC2A3",136,1,"turquoise"
"2565","Slc31a1",66,1,"turquoise"
"2566","Slc32a1",3,7,"black"
"2567","Slc35a1",158,1,"turquoise"
"2568","Slc35a3",50,1,"turquoise"
"2569","Slc35b1",164,3,"brown"
"2570","Slc35e1",7,1,"turquoise"
"2571","Slc35e4",79,1,"turquoise"
"2572","Slc35f5",6,1,"turquoise"
"2573","Slc35f6",119,2,"blue"
"2574","Slc36a1",135,1,"turquoise"
"2575","Slc38a10",8,2,"blue"
"2576","Slc38a2",310,1,"turquoise"
"2577","Slc38a3",6,4,"yellow"
"2578","Slc39a10",1,8,"pink"
"2579","Slc39a12",10,11,"greenyellow"
"2580","Slc39a6",3,3,"brown"
"2581","Slc41a1",15,3,"brown"
"2582","Slc44a1",3,12,"tan"
"2583","Slc45a1",48,2,"blue"
"2584","Slc48a1",3,12,"tan"
"2585","Slc4a1ap",41,3,"brown"
"2586","Slc4a2",4,2,"blue"
"2587","Slc4a3",3,4,"yellow"
"2588","Slc4a4",115,4,"yellow"
"2589","Slc52a2",30,2,"blue"
"2590","Slc5a11",4,12,"tan"
"2591","Slc5a3",10,1,"turquoise"
"2592","Slc5a5",3,16,"lightcyan"
"2593","Slc6a1",10,4,"yellow"
"2594","Slc6a11",48,9,"magenta"
"2595","Slc6a12",6,2,"blue"
"2596","Slc6a13",13,16,"lightcyan"
"2597","Slc6a9",15,12,"tan"
"2598","Slc7a2",56,11,"greenyellow"
"2599","Slc9a8",2,4,"yellow"
"2600","Slc9a9",15,12,"tan"
"2601","Slco1a2",5,12,"tan"
"2602","Slco2b1",15,4,"yellow"
"2603","Slco3a1",9,5,"green"
"2604","Slf2",23,1,"turquoise"
"2605","Slit1",4,9,"magenta"
"2606","Slitrk2",12,18,"lightgreen"
"2607","Slitrk5",41,8,"pink"
"2608","Slitrk6",62,1,"turquoise"
"2609","Slmap",4,5,"green"
"2610","Smad4",14,1,"turquoise"
"2611","Smad5",86,1,"turquoise"
"2612","SMAD5_like",64,1,"turquoise"
"2613","Smad7",89,1,"turquoise"
"2614","Smarca4",8,6,"red"
"2615","Smarca5",2,1,"turquoise"
"2616","Smarcad1",13,1,"turquoise"
"2617","Smarcc2",14,9,"magenta"
"2618","Smarcd2",12,1,"turquoise"
"2619","Smarce1",370,1,"turquoise"
"2620","Smcr8",6,5,"green"
"2621","Smg1",193,1,"turquoise"
"2622","Smg9",4,2,"blue"
"2623","Smim15",5,1,"turquoise"
"2624","Smim20",26,2,"blue"
"2625","Smim4",5,3,"brown"
"2626","Smndc1",146,1,"turquoise"
"2627","Smoc1",13,2,"blue"
"2628","Smpd1",16,2,"blue"
"2629","Smpd3",7,3,"brown"
"2630","Smurf1",35,1,"turquoise"
"2631","Smurf2",9,1,"turquoise"
"2632","Snap23",14,1,"turquoise"
"2633","Snap25",5,9,"magenta"
"2634","Snapc3",9,1,"turquoise"
"2635","Sncb",11,7,"black"
"2636","Snd1",20,2,"blue"
