"","gene","n","module_n","module_color"
"669","Clptm1l",10,2,"blue"
"670","Clpx",9,0,"grey"
"671","Clstn1",8,15,"midnightblue"
"672","Clstn2",105,3,"brown"
"673","Clstn3",9,15,"midnightblue"
"674","Clta",50,9,"magenta"
"675","Cltb",235,2,"blue"
"676","Cltc",69,3,"brown"
"677","Clu",27,5,"green"
"678","Cluh",28,3,"brown"
"679","Cmss1",4,2,"blue"
"680","Cmtm4",37,3,"brown"
"681","Cmtm5",8,5,"green"
"682","Cmtm6",5,1,"turquoise"
"683","Cmya5",42,1,"turquoise"
"684","Cnbp",15,2,"blue"
"685","Cnep1r1",5,1,"turquoise"
"686","Cnih4",7,1,"turquoise"
"687","Cnnm1",10,3,"brown"
"688","Cnnm3",19,1,"turquoise"
"689","Cnnm4",87,1,"turquoise"
"690","Cnot1",12,1,"turquoise"
"691","Cnot4",44,1,"turquoise"
"692","Cnot6",14,1,"turquoise"
"693","Cnot8",7,1,"turquoise"
"694","Cnp",6,4,"yellow"
"695","Cnpy2",5,4,"yellow"
"696","Cnpy3",11,2,"blue"
"697","Cnrip1",8,9,"magenta"
"698","Cntfr",2,7,"black"
"699","Cntn1",78,6,"red"
"700","Cntn4",18,3,"brown"
"701","Cntnap2",86,3,"brown"
"702","Cntnap5",41,3,"brown"
"703","Cntrl",18,1,"turquoise"
"704","Cntrob",161,1,"turquoise"
"705","Cog2",25,7,"black"
"706","Cog3",114,1,"turquoise"
"707","Cog6",5,3,"brown"
"708","Cog7",31,4,"yellow"
"709","Col11a1",6,5,"green"
"710","Col16a1",21,5,"green"
"711","Col22a1",12,12,"tan"
"712","COL24A1_like",7,5,"green"
"713","Col27a1",5,5,"green"
"714","Col2a1",16,5,"green"
"715","Col4a2",19,5,"green"
"716","Col4a3bp",62,1,"turquoise"
"717","Col4a6",11,12,"tan"
"718","Col5a1",5,5,"green"
"719","Col5a2",36,5,"green"
"720","Col9a2",6,4,"yellow"
"721","Col9a3",3,5,"green"
