"","gene","n","module_n","module_color"
"1017","G22128",3,5,"green"
"1018","G22132",356,2,"blue"
"1019","G22219",115,1,"turquoise"
"1020","G22252",194,2,"blue"
"1021","G22390",35,1,"turquoise"
"1022","G2240",60,1,"turquoise"
"1023","G22451",3,5,"green"
"1024","G22635",262,2,"blue"
"1025","G22714",4,5,"green"
"1026","G22730",186,2,"blue"
"1027","G2293",114,2,"blue"
"1028","G22932",23,1,"turquoise"
"1029","G23225",75,1,"turquoise"
"1030","G23320",174,1,"turquoise"
"1031","G2338",10,1,"turquoise"
"1032","G23598",4,1,"turquoise"
"1033","G23820",18,1,"turquoise"
"1034","G23855",3,0,"grey"
"1035","G23864",3,0,"grey"
"1036","G23882",50,1,"turquoise"
"1037","G24004",4,8,"pink"
"1038","G24336",5,2,"blue"
"1039","G245",220,2,"blue"
"1040","G25067",11,5,"green"
"1041","G2529",36,1,"turquoise"
"1042","G25301",93,1,"turquoise"
"1043","G25309",10,1,"turquoise"
"1044","G25348",6,22,"darkgreen"
"1045","G25363",58,1,"turquoise"
"1046","G25440",5,17,"grey60"
"1047","G25819",130,5,"green"
"1048","G26094",12,0,"grey"
"1049","G26101",193,1,"turquoise"
"1050","G26225",82,1,"turquoise"
"1051","G26479",19,1,"turquoise"
"1052","G26508",296,2,"blue"
"1053","G26557",3,5,"green"
"1054","G26558",4,9,"magenta"
"1055","G26671",198,1,"turquoise"
"1056","G26685",174,2,"blue"
"1057","G26771",5,2,"blue"
"1058","G26777",28,1,"turquoise"
"1059","G2704",340,1,"turquoise"
"1060","G27166",283,1,"turquoise"
"1061","G27318",3,1,"turquoise"
"1062","G27324",3,1,"turquoise"
"1063","G27912",226,1,"turquoise"
"1064","G27940",266,1,"turquoise"
"1065","G28043",3,5,"green"
"1066","G2813",403,2,"blue"
"1067","G28173",198,1,"turquoise"
"1068","G28345",25,1,"turquoise"
"1069","G28405",148,1,"turquoise"
"1070","G28623",22,2,"blue"
"1071","G28635",2,5,"green"
"1072","G29246",181,1,"turquoise"
"1073","G29697",30,1,"turquoise"
"1074","G2979",5,5,"green"
"1075","G29892",180,2,"blue"
"1076","G29952",20,1,"turquoise"
"1077","G30044",3,7,"black"
"1078","G30046",3,9,"magenta"
"1079","G30065",3,4,"yellow"
"1080","G30359",6,8,"pink"
"1081","G30498",106,2,"blue"
"1082","G30667",33,9,"magenta"
"1083","G30723",11,0,"grey"
"1084","G30732",494,1,"turquoise"
"1085","G30823",133,1,"turquoise"
"1086","G30941",132,1,"turquoise"
"1087","G3097",27,2,"blue"
"1088","G30984",52,2,"blue"
"1089","G31196",15,1,"turquoise"
"1090","G31367",70,1,"turquoise"
"1091","G31494",480,2,"blue"
"1092","G3182",371,1,"turquoise"
"1093","G31937",445,1,"turquoise"
"1094","G31954",165,1,"turquoise"
"1095","G31955",177,1,"turquoise"
"1096","G32182",9,8,"pink"
"1097","G32610",10,1,"turquoise"
"1098","G32880",32,8,"pink"
"1099","G32917",7,2,"blue"
"1100","G33032",71,2,"blue"
"1101","G33097",4,2,"blue"
"1102","G3353",3,8,"pink"
"1103","G33788",26,8,"pink"
"1104","G34488",305,1,"turquoise"
"1105","G34695",216,2,"blue"
"1106","G34756",1,4,"yellow"
"1107","G34824",16,2,"blue"
"1108","G34888",33,1,"turquoise"
"1109","G34932",15,2,"blue"
"1110","G34945",29,2,"blue"
"1111","G34984",8,1,"turquoise"
"1112","G35174",9,5,"green"
"1113","G35244",5,17,"grey60"
"1114","G35309",29,2,"blue"
"1115","G35392",1,4,"yellow"
"1116","G35393",1,4,"yellow"
"1117","G35404",220,1,"turquoise"
"1118","G35570",5,22,"darkgreen"
"1119","G35682",154,1,"turquoise"
"1120","G35812",171,2,"blue"
"1121","G36023",4,1,"turquoise"
"1122","G36171",16,5,"green"
"1123","G36794",47,1,"turquoise"
"1124","G37067",6,1,"turquoise"
"1125","G37171",120,8,"pink"
"1126","G37222",163,2,"blue"
"1127","G37282",5,1,"turquoise"
"1128","G37286",2,5,"green"
"1129","G37336",4,5,"green"
"1130","G37467",22,1,"turquoise"
"1131","G37557",198,1,"turquoise"
"1132","G37740",13,1,"turquoise"
"1133","G3795",88,1,"turquoise"
"1134","G37964",8,2,"blue"
"1135","G38115",248,1,"turquoise"
"1136","G38196",12,2,"blue"
"1137","G38377",6,1,"turquoise"
"1138","G3859",242,1,"turquoise"
"1139","G3860",236,1,"turquoise"
"1140","G3868",3,1,"turquoise"
"1141","G38719",129,2,"blue"
"1142","G38899",98,1,"turquoise"
"1143","G38978",520,2,"blue"
"1144","G39382",3,1,"turquoise"
"1145","G39395",60,1,"turquoise"
"1146","G3940",18,4,"yellow"
"1147","G39619",38,1,"turquoise"
"1148","G39662",181,2,"blue"
"1149","G39681",126,2,"blue"
"1150","G39774",4,1,"turquoise"
"1151","G3bp1",79,1,"turquoise"
"1152","G40000",111,1,"turquoise"
"1153","G40024",287,1,"turquoise"
"1154","G40445",1,8,"pink"
"1155","G40490",423,1,"turquoise"
"1156","G40523",7,22,"darkgreen"
"1157","G40583",588,1,"turquoise"
"1158","G40658",62,1,"turquoise"
"1159","G40691",54,1,"turquoise"
"1160","G40961",313,1,"turquoise"
"1161","G40994",4,4,"yellow"
"1162","G41047",11,0,"grey"
"1163","G41049",11,0,"grey"
"1164","G41099",2,22,"darkgreen"
"1165","G4177",4,8,"pink"
"1166","G4419",9,1,"turquoise"
"1167","G4530",16,1,"turquoise"
"1168","G4582",5,1,"turquoise"
"1169","G48",35,1,"turquoise"
"1170","G5074",23,8,"pink"
"1171","G5158",223,1,"turquoise"
"1172","G5224",33,8,"pink"
"1173","G555",196,2,"blue"
"1174","G5665",20,11,"greenyellow"
"1175","G5793",3,1,"turquoise"
"1176","G5822",140,1,"turquoise"
"1177","G5893",5,1,"turquoise"
"1178","G6121",2,5,"green"
"1179","G6195",3,1,"turquoise"
"1180","G6222",3,1,"turquoise"
"1181","G6407",85,2,"blue"
"1182","G6810",62,1,"turquoise"
"1183","G6814",9,5,"green"
"1184","G6825",17,5,"green"
"1185","G6830",5,5,"green"
"1186","G6841",5,5,"green"
"1187","G7012",41,2,"blue"
"1188","G7045",442,1,"turquoise"
"1189","G7148",30,2,"blue"
"1190","G7215",20,8,"pink"
"1191","G7345",8,1,"turquoise"
"1192","G7359",6,2,"blue"
"1193","G7372",85,2,"blue"
"1194","G7611",10,5,"green"
"1195","G7656",46,1,"turquoise"
"1196","G8062",7,1,"turquoise"
"1197","G8360",8,1,"turquoise"
"1198","G8376",198,1,"turquoise"
"1199","G8462",99,8,"pink"
"1200","G8491",54,2,"blue"
"1201","G8712",10,1,"turquoise"
"1202","G8879",27,5,"green"
"1203","G8955",3,0,"grey"
"1204","G8956",3,0,"grey"
"1205","G8982",10,1,"turquoise"
"1206","G92",4,1,"turquoise"
"1207","G924",3,3,"brown"
"1208","G9543",3,1,"turquoise"
"1209","G9745",14,1,"turquoise"
"1210","G9747",14,1,"turquoise"
"1211","G9748",5,1,"turquoise"
"1212","G9749",24,1,"turquoise"
"1213","G9750",6,1,"turquoise"
"1214","G9756",14,1,"turquoise"
"1215","Gaa",3,2,"blue"
"1216","Gab2",5,8,"pink"
"1217","Gabarap",38,2,"blue"
"1218","Gabbr1",10,7,"black"
"1219","Gabbr2",16,10,"purple"
"1220","Gabra1",4,7,"black"
"1221","Gabra2",4,5,"green"
"1222","Gabrb2",3,7,"black"
"1223","Gabrg1",3,5,"green"
"1224","Gadd45b",11,8,"pink"
"1225","Galk2",5,2,"blue"
"1226","Galnt6",7,11,"greenyellow"
"1227","Galnt9",1,10,"purple"
"1228","Galt",10,2,"blue"
"1229","Gap43",11,7,"black"
"1230","GAP43_gene23432",5,7,"black"
"1231","Gapdh",38,2,"blue"
"1232","Gapvd1",18,1,"turquoise"
"1233","Gas6",14,10,"purple"
"1234","Gatad1",119,1,"turquoise"
"1235","GATD3A_containing",89,2,"blue"
"1236","Gbf1",3,2,"blue"
"1237","Gcc1",371,1,"turquoise"
