"","gene","n","module_n","module_color"
"2233","Klhl21",165,1,"turquoise"
"2234","KLHL23_like",30,1,"turquoise"
"2235","Klhl24",4,1,"turquoise"
"2236","Klhl26",22,4,"yellow"
"2237","KLHL28_like",4,6,"red"
"2238","Klhl3",5,1,"turquoise"
"2239","KLHL3_containing",56,1,"turquoise"
"2240","Klhl5",3,0,"grey"
"2241","Klhl9",41,6,"red"
"2242","Klk6",15,2,"blue"
"2243","Kmt2a",54,1,"turquoise"
"2244","Kmt2b",9,23,"darkturquoise"
"2245","Kmt2c",26,1,"turquoise"
"2246","Kmt2d",236,1,"turquoise"
"2247","Kmt2e",154,1,"turquoise"
"2248","KMT2E-AS1_containing",14,21,"darkred"
"2249","Kmt5a",44,1,"turquoise"
"2250","Kmt5c",35,1,"turquoise"
"2251","Kpna3",8,18,"lightgreen"
"2252","Kpnb1",2,10,"purple"
"2253","Kras",37,4,"yellow"
"2254","Kremen1",38,1,"turquoise"
"2255","Krit1",70,1,"turquoise"
"2256","Krtcap2",4,3,"brown"
"2257","KSR1_containing_G34132",28,4,"yellow"
"2258","Ksr2",58,20,"royalblue"
"2259","KSR2_containing",71,1,"turquoise"
"2260","Ktn1",11,3,"brown"
"2261","KTN1_like",11,11,"greenyellow"
"2262","Kyat1",26,5,"green"
"2263","L3mbtl3",3,10,"purple"
"2264","Lama5",4,16,"lightcyan"
"2265","Lamp1",84,2,"blue"
"2266","Lamp2",31,3,"brown"
"2267","Lamtor1",43,3,"brown"
"2268","Lamtor5",22,3,"brown"
"2269","Lap3",32,2,"blue"
"2270","Laptm4a",23,3,"brown"
"2271","Laptm4b",3,5,"green"
"2272","Large1",78,0,"grey"
"2273","Larp4",50,1,"turquoise"
"2274","Larp7",33,2,"blue"
"2275","Lars",41,2,"blue"
"2276","Lca5",33,1,"turquoise"
"2277","Lcn15",3,2,"blue"
"2278","Lcor",3,21,"darkred"
"2279","LCOR",12,6,"red"
"2280","Ldb1",6,9,"magenta"
"2281","Ldb2",56,4,"yellow"
"2282","Ldb3",6,5,"green"
"2283","Ldhb",33,3,"brown"
"2284","Ldoc1",8,2,"blue"
"2285","LEFTY2_like",13,3,"brown"
"2286","Lekr1",18,2,"blue"
"2287","Lemd3",23,1,"turquoise"
"2288","Leng1",4,1,"turquoise"
"2289","Leng8",17,23,"darkturquoise"
"2290","Leprot",35,3,"brown"
"2291","Leprotl1",22,3,"brown"
"2292","Lgals3",10,2,"blue"
"2293","Lgals3bp",14,2,"blue"
"2294","Lgals8",8,5,"green"
"2295","Lgi1",26,4,"yellow"
"2296","Lgi2",5,5,"green"
"2297","Lgi3",52,5,"green"
"2298","LHFPL3_like",9,3,"brown"
"2299","Lhx2",172,4,"yellow"
"2300","Lhx6",107,4,"yellow"
"2301","Lias",26,3,"brown"
"2302","Lig4",320,1,"turquoise"
"2303","Limd2",20,4,"yellow"
"2304","Lime1",133,1,"turquoise"
"2305","Limk2",9,10,"purple"
"2306","Lims1",5,7,"black"
"2307","Lin7b",3,24,"darkgrey"
"2308","Lin7c",10,18,"lightgreen"
"2309","LIN7C_like",34,11,"greenyellow"
"2310","LINC00461_gene35",29,1,"turquoise"
"2311","LINC00599_containing",59,1,"turquoise"
"2312","LINC00643_like",108,1,"turquoise"
"2313","LINC01578_containing",52,3,"brown"
"2314","LINC02035_containing",184,1,"turquoise"
"2315","Lingo1",111,4,"yellow"
"2316","Lingo2",18,13,"salmon"
"2317","Lingo3",6,4,"yellow"
