"","topcorgene","module_color","module_n","module_genes","membership"
"459","GRM7_like","darkgreen",22,134,0.824754188255142
"460","CUNH12orf57","darkgreen",22,134,0.820000831297086
"461","Leng8","darkturquoise",23,131,0.96609486354057
"462","Celsr3","darkturquoise",23,131,0.940878580936515
"463","Cdan1","darkturquoise",23,131,0.933519070698026
"464","Atxn2l","darkturquoise",23,131,0.93046861807851
"465","Plxna3","darkturquoise",23,131,0.91885592666507
"466","Sppl2b","darkturquoise",23,131,0.913297259118327
"467","Znf335","darkturquoise",23,131,0.907749671668631
"468","Kmt2b","darkturquoise",23,131,0.907407165799725
"469","Capn10","darkturquoise",23,131,0.897374844502589
"470","Rtel1","darkturquoise",23,131,0.89652041858963
"471","Idua","darkturquoise",23,131,0.878359968976398
"472","Abcc10","darkturquoise",23,131,0.877699918460955
"473","Plscr3","darkturquoise",23,131,0.87716530257824
"474","Cic","darkturquoise",23,131,0.876061156707917
"475","Srrm2","darkturquoise",23,131,0.870760426836097
"476","Ciz1","darkturquoise",23,131,0.868176281980569
"477","Phc1","darkturquoise",23,131,0.867962009487516
"478","Ptpn23","darkturquoise",23,131,0.867703542639117
"479","Dip2a","darkturquoise",23,131,0.866774825290997
"480","Rhot2","darkturquoise",23,131,0.86400883189044
"481","Apbb1","darkgrey",24,128,0.931771039849175
"482","Mtch1","darkgrey",24,128,0.922771655520602
"483","Tusc2","darkgrey",24,128,0.916549782331464
"484","Ramp1","darkgrey",24,128,0.907704470280423
"485","Gdi1","darkgrey",24,128,0.899766072806171
"486","Chmp4b","darkgrey",24,128,0.896597142351358
"487","Ube2m","darkgrey",24,128,0.890327738019637
"488","Elmod3","darkgrey",24,128,0.882666438756884
"489","Ruvbl1","darkgrey",24,128,0.87706689777314
"490","Anapc11","darkgrey",24,128,0.876197178673656
"491","Prmt2","darkgrey",24,128,0.873594260466498
"492","Pin1","darkgrey",24,128,0.869243519789114
"493","Timm13","darkgrey",24,128,0.868969987283834
"494","Nenf","darkgrey",24,128,0.868909786137727
"495","Guk1","darkgrey",24,128,0.855426595746938
"496","Sult4a1","darkgrey",24,128,0.851088018213162
"497","Raly","darkgrey",24,128,0.849027815772816
"498","Ptpa","darkgrey",24,128,0.848597697403159
"499","COX8A_like","darkgrey",24,128,0.845220787073945
"500","Ap2m1","darkgrey",24,128,0.844666762953454
"501","TMTC1_containing","orange",25,122,0.909656044742216
"502","Cmas","orange",25,122,0.909343992736464
"503","Kif21a","orange",25,122,0.907576174320731
"504","Ermn","orange",25,122,0.896591135444084
"505","TMEM196_like","orange",25,122,0.872479675322383
"506","Socs5","orange",25,122,0.87211742771053
"507","Abhd3","orange",25,122,0.870310365732906
"508","Fez2","orange",25,122,0.869661795979948
"509","Dynlt3","orange",25,122,0.863597185902639
"510","Cand1","orange",25,122,0.856776927195397
"511","Pbx3","orange",25,122,0.847908867108772
"512","Inpp5f","orange",25,122,0.845818167550883
"513","Jkamp","orange",25,122,0.841210042286892
"514","Gabrg1","orange",25,122,0.839856675633572
"515","Elavl2","orange",25,122,0.83506504564008
"516","Echdc1","orange",25,122,0.834748182811713
"517","Sacm1l","orange",25,122,0.82609696151767
"518","RND3","orange",25,122,0.815659401958398
"519","Fam20b","orange",25,122,0.811974771017235
"520","G22714","orange",25,122,0.811507137181758
"521","Rgs8","darkorange",26,116,0.915644501116971
"522","Magi1","darkorange",26,116,0.893641955402636
"523","Tmem74b","darkorange",26,116,0.87962399818023
"524","Peg3","darkorange",26,116,0.866524304071014
"525","Snrk","darkorange",26,116,0.857039456069669
"526","Tmem229b","darkorange",26,116,0.854888655180921
"527","Col5a2","darkorange",26,116,0.837337252288387
"528","Mid1ip1","darkorange",26,116,0.834186751121661
"529","Luzp1","darkorange",26,116,0.832650406486267
"530","G7163","darkorange",26,116,0.831614725865546
"531","Pou3f2","darkorange",26,116,0.829474603411918
"532","Phf23","darkorange",26,116,0.828568985034716
"533","Fam43a","darkorange",26,116,0.824761877333423
"534","Pank1","darkorange",26,116,0.818091571229929
"535","Grk5","darkorange",26,116,0.818065156641508
"536","Fam43b","darkorange",26,116,0.815851186599027
"537","Znf462","darkorange",26,116,0.811959932569779
"538","Ubap1l","darkorange",26,116,0.810189158498015
"539","ENSA_gene25604","darkorange",26,116,0.808853529275544
